Commands:
    CTRL+R    Reset chip
    CTRL+C    Exit

ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x15 (USB_UART_CHIP_RESET),boot:0x2b (SPI_FAST_FLASH_BOOT)
Saved PC:0x40378eb1
SPIWP:0xee
mode:DIO, clock div:2
load:0x3fce2820,len:0x158c
load:0x403c8700,len:0xd24
load:0x403cb700,len:0x2f34
entry 0x403c8924
I (28) boot: ESP-IDF v5.5.1-838-gd66ebb86d2e 2nd stage bootloader
I (29) boot: compile time Nov 26 2025 12:27:56
I (29) boot: Multicore bootloader
I (30) boot: chip revision: v0.2
I (32) boot: efuse block revision: v1.4
I (36) boot.esp32s3: Boot SPI Speed : 40MHz
I (40) boot.esp32s3: SPI Mode       : DIO
I (44) boot.esp32s3: SPI Flash Size : 4MB
I (47) boot: Enabling RNG early entropy source...
I (52) boot: Partition Table:
I (54) boot: ## Label            Usage          Type ST Offset   Length
I (61) boot:  0 nvs              WiFi data        01 02 00009000 00006000
I (67) boot:  1 phy_init         RF data          01 01 0000f000 00001000
I (74) boot:  2 factory          factory app      00 00 00010000 003f0000
I (80) boot: End of partition table
I (84) esp_image: segment 0: paddr=00010020 vaddr=3c000020 size=02bb0h ( 11184) map
I (94) esp_image: segment 1: paddr=00012bd8 vaddr=3fc897a8 size=01a58h (  6744) load
I (100) esp_image: segment 2: paddr=00014638 vaddr=40378000 size=017a8h (  6056) load
I (108) esp_image: segment 3: paddr=00015de8 vaddr=00000000 size=0a230h ( 41520) 
I (123) esp_image: segment 4: paddr=00020020 vaddr=42010020 size=080d0h ( 32976) map
I (134) boot: Loaded app from partition at offset 0x10000
I (134) boot: Disabling RNG early entropy source...
# sensor OK (WHO_AM_I = 0x68)
# capture: 128 samples @ 20 ms (~50 Hz)
# columns: ax,ay,az,gx,gy,gz (raw counts)
# press BOOT, wait for GO, then perform the gesture
# ready...
# GO
-,-,-,-,-,-
4144,-7244,13436,-1387,1444,-2616
3052,-6616,16352,-770,-1447,-1486
3592,-7440,14732,-1698,128,-1010
4400,-6932,16172,-3298,2286,-1169
3852,-7432,13936,-2708,630,19
3496,-7836,14052,-1347,400,-36
4036,-7624,14732,-1316,93,727
1420,-8652,13744,-196,-892,327
2828,-7988,15808,678,367,-897
3768,-8124,15608,-284,-471,-85
3296,-7588,14636,-474,-9,96
1404,-8228,15224,-257,624,-158
564,-8376,15316,-1348,-13,-1929
1648,-8192,12412,1453,369,-3435
1380,-7320,8880,6254,-461,-4611
2628,-4644,3416,14080,439,-4851
8580,-1792,-376,31292,579,545
2940,2364,7944,32767,-431,3895
3852,5236,12616,32767,3832,3536
4328,6268,20956,26619,4221,3619
2784,5324,7860,22896,6175,3368
2336,10020,12196,29459,2047,4847
1236,10304,19080,25807,4804,4973
-2216,9000,19084,19783,5135,2168
-2852,10696,23080,16866,5234,-2621
1256,12100,27376,10187,4169,-6821
9988,-14992,-18696,-32768,21375,-2653
-7868,8156,29428,-10709,3132,-3550
1824,7936,19084,2634,-3374,-3785
6036,8688,16648,7915,3717,-223
2700,8536,32767,-5329,1404,3294
-5960,4512,20988,-16215,-3103,2784
-4620,4128,17052,-14445,-1917,-3586
928,6216,20540,-14217,-1925,-5037
840,6488,21592,-16926,-5070,-2240
-1256,5872,19388,-18801,-8902,-2391
-1812,3664,15680,-19720,-786,-4552
6436,5412,20636,-18327,292,-7480
8640,7780,20452,-24079,-7196,1634
2772,2640,12300,-19179,-9439,5481
1908,616,14448,-20230,967,3403
2616,-128,16804,-25413,103,2495
4692,-576,8304,-18376,-4459,4048
3180,-2916,10516,-12458,-1291,5752
704,-5248,12248,-13695,497,4632
-856,-7052,5748,-8897,-1371,2016
-1088,-7752,6064,-514,802,-1432
3340,-5956,13128,3328,298,-2605
